country_code,year,NE.CON.PRVT.PC.KD,NY.GDP.PCAP.KD
ARG,1977,NA,10083.8151828918
ARG,1978,NA,9476.06343622627
ARG,1979,NA,10278.9246238181
ARG,1980,NA,10270.9561180014
ARG,1981,NA,9585.20677182144
ARG,1982,NA,9366.17037951494
ARG,1983,NA,9622.34731895272
ARG,1984,NA,9624.40455636866
ARG,1985,NA,8987.93370569176
ARG,1986,NA,9397.88360849477
ARG,1987,NA,9507.33981264281
ARG,1988,NA,9262.96392660836
ARG,1989,NA,8473.02656895128
ARG,1990,NA,8144.49429397801
ARG,1991,NA,8762.66138351332
ARG,1992,NA,9327.8594509636
ARG,1993,6139.43515672298,9957.25652230492
ARG,1994,6424.87141027683,10397.3792874496
ARG,1995,6063.19657045336,9969.33157579723
ARG,1996,6318.62332761053,10388.5387104408
ARG,1997,6803.80069334549,11097.3820634618
ARG,1998,6959.16995825289,11391.9451576314
ARG,1999,6741.99420777259,10880.2062074837
ARG,2000,6622.04746890035,10672.7220353121
ARG,2001,6173.61957818371,10090.6534434286
ARG,2002,5230.98707466048,8895.31964210751
ARG,2003,5600.19117402276,9581.96979219468
ARG,2004,6070.24060137833,10341.6434058805
ARG,2005,6451.96264700318,11141.3106718375
ARG,2006,7085.16602872579,11913.9585322637
ARG,2007,7669.27329593239,12857.0925770961
ARG,2008,8143.67376678509,13246.6348917152
ARG,2009,7626.36003840856,12336.8619385237
ARG,2010,8457.96700369092,13551.3391940229
ARG,2011,9144.32049404601,14200.2698890608
ARG,2012,9141.32692467183,13895.6337072986
ARG,2013,9368.5477700906,14071.5086831557
ARG,2014,8862.27025201094,13567.9484159809
ARG,2015,9087.79573493006,13789.060424772
ARG,2016,8922.06360269184,13360.2118345982
ARG,2017,9197.19895562786,13595.0373551081
ARG,2018,8899.789527597,13105.397163317
ARG,2019,8271.92477105359,12716.2242038544
ARG,2020,7067.1344884157,11341.2683655863
ARG,2021,7702.27752330107,12402.4907912317
ARM,1960,NA,NA
ARM,1961,NA,NA
ARM,1962,NA,NA
ARM,1963,NA,NA
ARM,1964,NA,NA
ARM,1965,NA,NA
ARM,1966,NA,NA
ARM,1967,NA,NA
ARM,1968,NA,NA
ARM,1969,NA,NA
ARM,1970,NA,NA
ARM,1971,NA,NA
ARM,1972,NA,NA
ARM,1973,NA,NA
ARM,1974,NA,NA
ARM,1975,NA,NA
ARM,1976,NA,NA
ARM,1977,NA,NA
ARM,1978,NA,NA
ARM,1979,NA,NA
ARM,1980,NA,NA
ARM,1981,NA,NA
ARM,1982,NA,NA
ARM,1983,NA,NA
ARM,1984,NA,NA
ARM,1985,NA,NA
ARM,1986,NA,NA
ARM,1987,NA,NA
ARM,1988,NA,NA
ARM,1989,NA,NA
ARM,1990,NA,1641.98316944805
ARM,1991,NA,1425.38676225741
ARM,1992,NA,839.57204217232
ARM,1993,NA,791.647007749424
ARM,1994,855.908365077082,855.081053472444
ARM,1995,952.904795734647,928.092510170958
ARM,1996,999.075651640713,989.64235772034
ARM,1997,1088.17800407498,1031.09827394605
ARM,1998,1151.25389008441,1116.90720859788
ARM,1999,1172.3356405705,1166.18797873134
ARM,2000,1283.56346016104,1249.61214756857
ARM,2001,1391.49368204796,1385.04481436446
ARM,2002,1520.33897761615,1582.05764484309
ARM,2003,1641.79685177851,1815.78825107558
ARM,2004,1798.62917708847,2018.4601704343
ARM,2005,1974.02472684759,2312.9828952133
ARM,2006,2152.37296555219,2636.25668680987
ARM,2007,2454.91009556071,3019.46560486589
ARM,2008,2604.74044068065,3250.49865862103
ARM,2009,2504.45145984908,2810.19288167278
ARM,2010,2615.5059664423,2889.56627049421
ARM,2011,2694.1120421501,3043.26283071032
ARM,2012,2953.45335139992,3278.67049613397
ARM,2013,3017.29156343423,3402.08390435316
ARM,2014,3077.42808437755,3538.5294441069
ARM,2015,2856.50548941139,3666.1418758065
ARM,2016,2811.08449624419,3689.8301361784
ARM,2017,3219.4300099087,3985.91675673291
ARM,2018,3392.41179677888,4215.89945615491
ARM,2019,3804.30757432614,4561.96786576599
ARM,2020,3290.29878755877,4256.13129015707
ARM,2021,3428.78451789448,4522.31910742549
ASM,1960,NA,NA
ASM,1961,NA,NA
ASM,1962,NA,NA
ASM,1963,NA,NA
ASM,1964,NA,NA
ASM,1965,NA,NA
ASM,1966,NA,NA
ASM,1967,NA,NA
ASM,1968,NA,NA
ASM,1969,NA,NA
ASM,1970,NA,NA
ASM,1971,NA,NA
ASM,1972,NA,NA
ASM,1973,NA,NA
ASM,1974,NA,NA
ASM,1975,NA,NA
ASM,1976,NA,NA
ASM,1977,NA,NA
ASM,1978,NA,NA
ASM,1979,NA,NA
ASM,1980,NA,NA
ASM,1981,NA,NA
ASM,1982,NA,NA
ASM,1983,NA,NA
ASM,1984,NA,NA
ASM,1985,NA,NA
ASM,1986,NA,NA
ASM,1987,NA,NA
ASM,1988,NA,NA
ASM,1989,NA,NA
ASM,1990,NA,NA
ASM,1991,NA,NA
ASM,1992,NA,NA
ASM,1993,NA,NA
ASM,1994,NA,NA
ASM,1995,NA,NA
ASM,1996,NA,NA
ASM,1997,NA,NA
ASM,1998,NA,NA
ASM,1999,NA,NA
ASM,2000,NA,NA
ASM,2001,NA,NA
ASM,2002,8528.40822387154,12804.4358444426
ASM,2003,8771.15698705407,12980.7222956862
ASM,2004,9202.54185360593,13105.1690778892
ASM,2005,9139.53800905274,13136.4800805944
ASM,2006,9047.55366856558,12690.5291104991
ASM,2007,8960.08560293383,13029.6162843735
ASM,2008,8787.37848990069,12795.0245577508
ASM,2009,8598.59605164963,12378.1701945665
ASM,2010,8313.41560923794,12532.3111237111
ASM,2011,7970.57809003625,12656.6881389142
ASM,2012,7856.69965423202,12247.6352882148
ASM,2013,8338.92626436292,12098.2751505435
ASM,2014,8674.7502214683,12494.9802110307
ASM,2015,8954.99143435602,13101.5418159165
ASM,2016,9217.8447918874,13116.4309769201
ASM,2017,9340.49155175493,12442.8576653719
ASM,2018,9644.60944336671,13049.3301536176
ASM,2019,10209.0073472924,13288.3565565116
ASM,2020,10981.0829456077,14303.6270325756
ASM,2021,11953.8272755348,14396.3685581274
ATG,1960,NA,NA
ATG,1961,NA,NA
ATG,1962,NA,NA
ATG,1963,NA,NA
ATG,1964,NA,NA
ATG,1965,NA,NA
ATG,1966,NA,NA
ATG,1967,NA,NA
ATG,1968,NA,NA
ATG,1969,NA,NA
ATG,1970,NA,NA
ATG,1971,NA,NA
ATG,1972,NA,NA
ATG,1973,NA,NA
ATG,1974,NA,NA
ATG,1975,NA,NA
ATG,1976,NA,NA
ATG,1977,NA,5400.58325928089
ATG,1978,NA,5618.7465999122
ATG,1979,NA,6046.40926549427
ATG,1980,NA,6511.66277959622
ATG,1981,NA,6740.65174628264
ATG,1982,NA,6718.98528820778
ATG,1983,NA,7060.23527120705
ATG,1984,NA,7783.38175635573
